n,reps,hyperedges_mean,hyperedges_std,misclassification_mean,misclassification_std,ari_mean,ari_std,nmi_mean,nmi_std,generation_wall_sec_mean,generation_wall_sec_std,zhou_laplacian_wall_sec_mean,zhou_laplacian_wall_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,embedding_normalize_wall_sec_mean,embedding_normalize_wall_sec_std,kmeans_wall_sec_mean,kmeans_wall_sec_std,spectral_clustering_wall_sec_mean,spectral_clustering_wall_sec_std,metric_wall_sec_mean,metric_wall_sec_std,algorithm_total_wall_sec_mean,algorithm_total_wall_sec_std,cpu_time_sec_mean,cpu_time_sec_std,wall_clock_sec_mean,wall_clock_sec_std,peak_traced_memory_mb_mean,peak_traced_memory_mb_std,rss_delta_mb_mean,rss_delta_mb_std
1000,10,5028.5,106.43229459770801,0.0166,0.0032727833889689534,0.9507481623054724,0.009622587613286106,0.915601848605406,0.012795531464740538,0.2000843831920065,0.024451479119644348,0.01334280832670629,0.0008334228513827478,0.00199535422725603,0.00011280719361858595,4.7279393766075375e-05,1.669668902983859e-05,0.05700196649413556,0.05604765808466152,0.05904864590847865,0.05603645427862944,0.0069353749277070165,0.0013521443800191047,0.2724717916338705,0.04699757726391642,1.7612725999999999,0.14864939683339917,0.29837365839630364,0.048202279245590826,2.5170146942138674,0.05134454064709255,0.9125,1.3512227615714918
2000,10,10066.8,64.04304108262714,0.01765,0.0021219749710535644,0.9477443923880491,0.0062135909585562255,0.9097040195897191,0.009299950151146274,0.3946687750983983,0.018845570614266456,0.024934066890273242,0.0027556374962268426,0.003157958318479359,0.0003491469127451247,5.8699981309473515e-05,2.8971388765497138e-05,0.05784939578734338,0.006541025136807919,0.06107020839117468,0.006715213199666028,0.011086183111183345,0.0017994144522837322,0.48066889607580376,0.02181806496408904,1.9835076,0.23068680222818705,0.5321627250057646,0.02630075038920614,5.180318450927734,0.030030270288010294,-1.259375,6.953654396201005
3000,10,15157.7,94.41404085786806,0.015333333333333332,0.0031426968052735444,0.9545346136092153,0.009193459047359295,0.9191272740328509,0.01361048948476654,0.5478956083999946,0.01863204110893052,0.03469951681327075,0.0013479205424910842,0.003941950108855963,0.00016735091220407766,6.115419091656804e-05,1.955355353111256e-05,0.07428000408690423,0.011692013862299079,0.07828645000699908,0.011651207204228686,0.01388600820209831,0.001686976143078211,0.6608782335999421,0.015427074707247612,2.4631043000000012,0.14249895406949487,0.7316117250127718,0.015528398314435957,7.867832374572754,0.04773813851727574,2.2015625,2.166634740349715
4000,10,20148.1,121.57891812865145,0.018,0.003011551833265441,0.9467302576525827,0.0087811910473884,0.9075886807832874,0.012659631392920829,0.715841070911847,0.021786593448525612,0.043523808068130165,0.0012201574904849297,0.004892187600489706,0.00016937616778744225,7.583739934489132e-05,4.532602300188901e-05,0.07376791650895029,0.008174662501684443,0.07873986238846556,0.00821956500787276,0.017855187179520726,0.0020582328006935814,0.8381008204887621,0.024924681373572833,2.667772900000004,0.160368657589974,0.9349241874180734,0.029204469343988813,10.508123683929444,0.059454602550613245,1.43125,1.2494616896443398
5000,10,25090.1,104.94596493222355,0.01764,0.002583365591196449,0.9477817652003205,0.007534253435929178,0.908765881000126,0.010924884926581497,0.904068804194685,0.04930755608751834,0.057265629211906345,0.00489189669264631,0.006386162398848682,0.0006622147232154883,8.753330912441016e-05,3.666810692225616e-05,0.0865143873845227,0.01503529926485137,0.09299262489657849,0.014983492897584917,0.02296487900894135,0.0028255472434684597,1.0543225164990873,0.05794199849655236,2.875024100000002,0.23501951301704216,1.1903837458929047,0.07530745581172994,13.120804405212402,0.05192367713746992,0.7140625,2.5869016224704557
6000,10,30254.5,183.44799444710927,0.0168,0.002157101393016352,0.9502362875720314,0.006316531155536503,0.912398511719554,0.009472799736829065,1.0450611459207721,0.032989685191389465,0.06977777912979946,0.005502108524072739,0.007279941625893116,0.0004512298951023096,9.572110138833523e-05,4.210906713289386e-05,0.09456037069903686,0.017427018577831736,0.10194090410368517,0.01750106957462353,0.02501499999780208,0.0025727309524928945,1.2167749584768899,0.02838369294781729,3.226225699999998,0.17915313483786402,1.3613907540217043,0.02939536557735809,15.846615028381347,0.09005261407161708,2.6921875,2.4969822280897063
7000,10,35202.6,131.26241740202022,0.016214285714285716,0.0020250696357109435,0.9519479807324276,0.005923248843503953,0.9148314194820731,0.008836263192685214,1.2187314791954122,0.056463513734408166,0.07707797918701545,0.004074790966749558,0.00823200000450015,0.0004854864702715199,9.871238144114614e-05,3.332462910990367e-05,0.0864215665962547,0.010889974390785352,0.09475630848901347,0.010986282606242717,0.028798512578941882,0.0034840603582187587,1.3905617373646237,0.060490685010673645,3.512019900000001,0.18481242358940014,1.5563190581975506,0.06652178535913982,18.46432218551636,0.06608019409972446,0.9734375,2.925090606532319
8000,10,40285.8,231.03573557160172,0.0172,0.001930385683973254,0.9490651910534835,0.005632046752006805,0.9104261876888377,0.008299410249709718,1.3722907165880316,0.07145430594460618,0.08820636250311509,0.0036947568899038017,0.009114416677039116,0.00041525025398284223,9.274588664993643e-05,2.773312096262025e-05,0.09242925808066502,0.009110304329350508,0.10164063747506588,0.00895518760892343,0.03303233740152791,0.002051898688359715,1.5621334997355008,0.0709603287049201,3.9430885000000044,0.1378667683310774,1.7548611205071212,0.07272642797489261,21.151021003723145,0.11344432707480807,-0.31875,4.380602811210271
9000,10,45309.1,212.41126251789072,0.016377777777777776,0.001683617504433406,0.9514708841476001,0.004928423580905012,0.9139690060834068,0.007416399820310631,1.5623620291939004,0.09616850861335026,0.10433846669038757,0.005766243284928938,0.010921416687779129,0.0008272058621441004,0.000113354017958045,5.24756125547802e-05,0.09192731680814177,0.012117329716816833,0.10296695829601958,0.012276966108340278,0.03688267908291891,0.004569136458738109,1.769662583398167,0.09489025769849062,4.029612799999995,0.1744849334105591,1.9909149081911892,0.0972178420452356,23.805672454833985,0.10601792792420524,0.190625,9.132354104668497
10000,10,50327.4,185.90630854157595,0.0166,0.0017813852287849846,0.9508196065328669,0.0052123379624254736,0.913008972583903,0.007673113357430886,1.6714012334006838,0.04241508309717631,0.11073231671471148,0.0040153149634544975,0.011971391795668751,0.000711830611328877,0.00011371251894161105,6.0396383952119416e-05,0.09264640400651843,0.0065717042297283555,0.1047355999238789,0.006970360877380336,0.038622833334375176,0.0029638991321174818,1.886865058436524,0.04336214882281469,4.277444300000002,0.08857068593319166,2.1183348084101454,0.04448423164291055,26.45846815109253,0.09046206359477538,0.6640625,6.551397064285115
