rho_label,n,reps,rho_mean,hyperedges_mean,degree_mean,isolated_frac_mean,misclassification_mean,misclassification_std,ari_mean,ari_std,nmi_mean,nmi_std,wall_clock_sec_mean,peak_traced_memory_mb_mean
rho_1,1000,5,1.0,1255.8,3.7674,0.024200000000000003,0.5714,0.06813442595340477,0.05112000317758052,0.04560668484130097,0.05185961897351584,0.03668164635547949,0.15699030817486345,0.9135034561157227
rho_1,2000,5,1.0,2512.0,3.768,0.020800000000000003,0.5395,0.08098842509889918,0.0754845398478916,0.06303607191265856,0.07168324300667095,0.054531380290893834,0.2579950999934226,1.7911762237548827
rho_1,3000,5,1.0,3745.4,3.7454,0.023799999999999998,0.592,0.07578734869503101,0.0360056103429837,0.058393410357017964,0.03413659806017845,0.04733935187008875,0.352284666406922,2.685290718078613
rho_1,4000,5,1.0,5024.6,3.76845,0.022000000000000002,0.59185,0.05114214260274983,0.026835952020098607,0.02659328801461802,0.03129536152594561,0.027845870992610593,0.4551471916260198,3.5957542419433595
rho_1,5000,5,1.0,6223.4,3.7340400000000002,0.024759999999999997,0.6252000000000001,0.03582094359449514,0.011726700686775286,0.014074074094767752,0.01818747521167598,0.018311184355710344,0.4320328165544197,4.4763082504272464
rho_1,6000,5,1.0,7560.8,3.7804,0.022,0.6445333333333333,0.022507529604309955,0.003064106488141578,0.0056860053731741965,0.008522556330195273,0.008455643407064152,0.5118495920207351,5.408915901184082
rho_1,7000,5,1.0,8822.4,3.781028571428571,0.02394285714285714,0.6469142857142857,0.02076044118913049,0.002476152829621935,0.0033447049847873662,0.006079800338534429,0.006724490634020966,0.5386611002264544,6.311710929870605
rho_1,8000,5,1.0,10091.4,3.784275,0.022750000000000003,0.636825,0.027532452442526813,0.0076006779768801784,0.009895144217729008,0.010974119770419444,0.011194005551392572,0.6069700915599242,7.219219970703125
rho_1,9000,5,1.0,11300.6,3.7668666666666666,0.023444444444444445,0.6493333333333333,0.012212117034696934,0.0014143965556912062,0.001639689394004691,0.005372138569312133,0.003644230407376458,0.6417020417982713,8.103609466552735
rho_1,10000,5,1.0,12563.2,3.76896,0.02268,0.6579200000000001,0.006407183468576474,0.0003126800263495787,0.00043609814055451366,0.00400081512180832,0.0019502993052627213,0.6068311163922772,9.007471656799316
rho_2log_n,1000,5,13.815510557964274,17243.6,51.7308,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5867563250241801,7.998988914489746
rho_2log_n,2000,5,15.201804919084164,38252.0,57.378,0.0,0.0,0.0,1.0,0.0,0.9999999999999998,0.0,1.3478743001818656,18.552597427368163
rho_2log_n,3000,5,16.012735135300492,60373.4,60.373400000000004,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.9305591915966942,29.72510509490967
rho_2log_n,4000,5,16.588099280204055,83722.4,62.7918,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.683597674802877,41.54516105651855
rho_2log_n,5000,5,17.034386382832476,107341.8,64.40508,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.423453691601753,53.51690673828125
rho_2log_n,6000,5,17.399029496420383,131410.8,65.7054,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.131287066615187,65.71732177734376
rho_2log_n,7000,5,17.7073308560749,156089.0,66.89528571428572,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.833422883204184,78.22957782745361
rho_2log_n,8000,5,17.974393641323946,180865.2,67.82445,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.633811874804087,90.81497726440429
rho_2log_n,9000,5,18.209959712636714,206173.0,68.72433333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.50984399158042,103.64732704162597
rho_2log_n,10000,5,18.420680743952367,232157.6,69.64728,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.366511175013147,116.8277021408081
rho_log_n,1000,5,6.907755278982137,8645.2,25.9356,0.0,0.0014,0.0008944271909999159,0.9957994127015152,0.0026829358475431043,0.9913232905183058,0.005543134122824608,0.3358956831973046,4.183213424682617
rho_log_n,2000,5,7.600902459542082,19134.8,28.702199999999998,0.0,0.0010999999999999998,0.0005477225575051661,0.9967011289111121,0.0016423921849741477,0.9926148666541701,0.003482862531618785,0.6646725252037868,9.54352626800537
rho_log_n,3000,5,8.006367567650246,30173.6,30.1736,0.0,0.0006000000000000001,0.0006411794687223783,0.9982004016358769,0.001922205006813049,0.995881257690645,0.004202381329052606,1.038409966789186,15.20134677886963
rho_log_n,4000,5,8.294049640102028,41630.0,31.222500000000004,0.0,0.00030000000000000003,0.0002091650066335189,0.9991002251970965,0.000627281962457133,0.9978252183155369,0.0014896525825189649,1.3918657497968525,21.078851318359376
rho_log_n,5000,5,8.517193191416238,53520.0,32.112,0.0,0.00056,0.0001673320053068151,0.9983201443364177,0.0005019528379226471,0.9958097622571543,0.00125931920506864,1.750560567015782,27.176903915405273
rho_log_n,6000,5,8.699514748210191,65702.4,32.8512,0.0,0.0002333333333333333,0.00014907119849998598,0.9992999916625219,0.0004472089554232504,0.9981732767068449,0.0011670476778601396,2.1254753250163048,33.415085029602054
rho_log_n,7000,5,8.85366542803745,78003.6,33.43011428571428,0.0,0.00028571428571428574,0.00020203050891044215,0.9991429184828957,0.0006060481230645993,0.997795208618454,0.0015481168566146373,2.4938394331838936,39.723233222961426
rho_log_n,8000,5,8.987196820661973,90575.0,33.965625,0.0,0.0002,6.846531968814576e-05,0.9993999859545164,0.00020537670387717977,0.9984133973227847,0.0005290664790607269,2.8950262249680234,46.175776672363284
rho_log_n,9000,5,9.104979856318357,103332.4,34.44413333333333,0.0,0.00037777777777777777,0.00012668615834434866,0.9988667927000596,0.00037993090736912526,0.9970151924327085,0.000996535520726506,3.2547460584202783,52.714571952819824
rho_log_n,10000,5,9.210340371976184,115777.8,34.73334,0.0,0.00035999999999999997,0.000260768096208106,0.9989203331161327,0.0007819138710715775,0.9971752409833311,0.002031569465263042,3.6863215745892375,59.101836585998534
